mode,epoch,split,loss,mae_bpm,rmse_bpm,lr
joint,1,train,0.6518246441176443,9.575612407742124,11.159256400484027,0.0003
joint,1,val,0.29258456436747854,5.19407734003934,5.853281595490196,0.0003
joint,2,train,0.6446732892231508,9.51768082560915,10.957316427519828,0.0003
joint,2,val,0.31161956472153013,5.4455015442588115,6.10987825827165,0.0003
joint,3,train,0.6361005211418326,9.39638335054571,10.922851475802334,0.0003
joint,3,val,0.3449249550361525,5.893600984053179,6.552113890647888,0.0003
joint,4,train,0.6350230235945095,9.391490199349143,10.896352883541223,0.0003
joint,4,val,0.23076258565891872,4.452082232995466,5.069782354614952,0.0003
joint,5,train,0.6305929178541357,9.33224985816262,10.856334173318112,0.0003
joint,5,val,0.24728629568761046,4.667693820866671,5.326219146901911,0.0003
joint,6,train,0.6362676778526017,9.395733789964156,10.994782837954434,0.0003
joint,6,val,0.30434096892448986,5.360859795050188,6.037019187753851,0.0003
joint,7,train,0.6314140982700117,9.344951102227876,10.877017237923361,0.0003
joint,7,val,0.32316548275676643,5.625798973170194,6.375268014994535,0.0003
joint,8,train,0.6199220911119924,9.214908397558963,10.818658351898193,0.0003
joint,8,val,0.2901952358132059,5.287048209797252,6.003757812760093,0.0003
joint,9,train,0.6197443292899565,9.207997155911995,10.797221162102439,0.00015
joint,9,val,0.384744270620021,6.410499865358526,7.233503525907343,0.00015
joint,10,train,0.6083789711648767,9.070028565146707,10.697037783536045,0.00015
joint,10,val,0.3342293453487483,5.8448168581182305,6.71397759697654,0.00015
joint,11,train,0.5987732753609166,8.950960022030454,10.642781134807702,0.00015
joint,11,val,0.40465194325555454,6.658081867478111,7.6560328440232714,0.00015
joint,12,train,0.5840984095226635,8.764178333860455,10.553244280092644,0.00015
joint,12,val,0.4668372056700967,7.413735790686174,8.438593604347922,0.00015
joint,13,train,0.5775450142947111,8.676352789907744,10.47142075769829,0.00015
joint,13,val,0.4731485518542203,7.491631226106123,8.575157403945923,0.00015
joint,14,train,0.5727466155182231,8.643982417655714,10.433212583715266,7.5e-05
joint,14,val,0.3270533389665864,5.769745967604897,6.833286328749224,7.5e-05
joint,15,train,0.5740307700453382,8.65100429274819,10.460524978059711,7.5e-05
joint,15,val,0.3335768560116941,5.837594400752675,6.903444593602961,7.5e-05
official,1,train,0.6510298274683229,9.568514079758614,11.100315816474684,0.0003
official,1,val,0.2051168427887288,4.181936394084584,4.765776135704734,0.0003
official,2,train,0.644711409554337,9.494691892103715,10.99820850834702,0.0003
official,2,val,0.2831583156843077,5.065985061905601,5.735144821080294,0.0003
official,3,train,0.6416818251212438,9.46785494775483,10.991010824839273,0.0003
official,3,val,0.30671343647620897,5.380402402444319,6.050783363255587,0.0003
official,4,train,0.6360237110744823,9.415488821087461,10.882196296345104,0.0003
official,4,val,0.2635359466075897,4.874615528366783,5.558572595769709,0.0003
official,5,train,0.6241360618309542,9.259995959021829,10.848394307223233,0.0003
official,5,val,0.20295149799097667,4.2484999461607496,4.934838229959661,0.0003
official,6,train,0.6122768245863192,9.102057977156205,10.838220206173984,0.00015
official,6,val,0.3424341665072875,5.9077547571875835,6.867149613120339,0.00015
official,7,train,0.5785902580528548,8.701604070085468,10.52392039154515,0.00015
official,7,val,0.41951780359853397,6.856049060821533,7.948744362050837,0.00015
official,8,train,0.5605639612132852,8.477613477995902,10.373018235871285,0.00015
official,8,val,0.4226736941120841,6.889088110490278,8.037409739060836,0.00015
official,9,train,0.5490698019663492,8.33948558027094,10.238374478889234,0.00015
official,9,val,0.4301627264781432,6.9773080132224345,8.207359617406672,0.00015
official,10,train,0.5183734708663189,7.964204824332035,9.975132407564105,0.00015
official,10,val,0.48500335216522217,7.589528495615179,8.873274391347712,0.00015
official,11,train,0.49803560385198303,7.715498447418213,9.7506882277402,7.5e-05
official,11,val,0.37071871012449265,6.30832128091292,7.642032709988681,7.5e-05
official,12,train,0.46110289521289594,7.272717439767086,9.273525570378158,7.5e-05
official,12,val,0.44569692422043194,7.16956090927124,8.61686541817405,7.5e-05
