record_type,method,model,setting,source_dataset,target_dataset,split,count,mae_bpm,rmse_bpm,pearson_r,within_3bpm_percent,within_5bpm_percent,within_10bpm_percent,label_mean_bpm,pred_mean_bpm,json_path
overall,patchtst,patchtst,source_only_or_within,FTU,FTU,test,704,5.752585877071727,6.838037560307641,0.07210563777890595,28.835227272727273,48.01136363636363,86.78977272727273,77.50005028464578,71.95560861717571,/Radar_Vital_Signs/experiment_runs/cycleformer_2026-06-23/results/source_only/patchtst_ftu_to_ftu_test.json
overall,patchtst,patchtst,source_only_or_within,FTU,PhysDrive,test,744,10.237539250363586,12.669443382938061,0.08919567516362152,18.817204301075268,34.543010752688176,54.03225806451613,73.02896617561258,72.2859102167109,/Radar_Vital_Signs/experiment_runs/cycleformer_2026-06-23/results/source_only/patchtst_ftu_to_physdrive_test.json
overall,tcn,tcn,source_only_or_within,FTU,BGT60TR13C,test,556,8.850682224301126,9.733991511367828,-0.031697088107535736,7.374100719424461,17.985611510791365,62.94964028776978,83.61278048179132,74.77504479113243,/Radar_Vital_Signs/experiment_runs/cycleformer_2026-06-23/results/source_only/tcn_ftu_to_bgt60tr13c_test.json
overall,tcn,tcn,source_only_or_within,FTU,FTU,test,704,3.865552793849598,4.947684548677889,0.15241534518983613,48.4375,69.0340909090909,96.44886363636364,77.50005028464578,74.6230697631836,/Radar_Vital_Signs/experiment_runs/cycleformer_2026-06-23/results/source_only/tcn_ftu_to_ftu_test.json
overall,tcn,tcn,source_only_or_within,FTU,PhysDrive,test,744,10.552204296153079,12.927876712642307,0.05573346462200853,22.043010752688172,30.107526881720432,53.494623655913976,73.02896617561258,74.4326690653319,/Radar_Vital_Signs/experiment_runs/cycleformer_2026-06-23/results/source_only/tcn_ftu_to_physdrive_test.json
overall,timesnet,timesnet,source_only_or_within,FTU,BGT60TR13C,test,556,11.009924675920884,11.769610397450036,-0.05700523867860922,1.2589928057553956,7.194244604316546,39.568345323741006,83.61278048179132,72.61859593288504,/Radar_Vital_Signs/experiment_runs/cycleformer_2026-06-23/results/source_only/timesnet_ftu_to_bgt60tr13c_test.json
overall,timesnet,timesnet,source_only_or_within,FTU,FTU,test,704,5.143713907762007,6.340954901586206,0.08775037826648524,35.79545454545455,53.55113636363637,89.20454545454545,77.50005028464578,72.71307730674744,/Radar_Vital_Signs/experiment_runs/cycleformer_2026-06-23/results/source_only/timesnet_ftu_to_ftu_test.json
overall,timesnet,timesnet,source_only_or_within,FTU,PhysDrive,test,744,10.50194271661902,12.908758878562656,-0.028411590965622728,19.892473118279568,30.64516129032258,51.61290322580645,73.02896617561258,72.48275051322035,/Radar_Vital_Signs/experiment_runs/cycleformer_2026-06-23/results/source_only/timesnet_ftu_to_physdrive_test.json
overall,transformer,transformer,source_only_or_within,FTU,BGT60TR13C,test,556,9.929172282596285,10.59411474630003,-0.030283310072834444,2.5179856115107913,7.913669064748201,51.2589928057554,83.61278048179132,73.68360819919504,/Radar_Vital_Signs/experiment_runs/cycleformer_2026-06-23/results/source_only/transformer_ftu_to_bgt60tr13c_test.json
overall,transformer,transformer,source_only_or_within,FTU,FTU,test,704,4.034207636659795,5.132241665108266,0.32844600226631016,46.16477272727273,66.33522727272727,95.17045454545455,77.50005028464578,73.95097447525372,/Radar_Vital_Signs/experiment_runs/cycleformer_2026-06-23/results/source_only/transformer_ftu_to_ftu_test.json
overall,transformer,transformer,source_only_or_within,FTU,PhysDrive,test,744,10.297669256887128,12.741545327464404,0.020517971248731674,22.311827956989248,34.005376344086024,54.83870967741935,73.02896617561258,74.07679103523172,/Radar_Vital_Signs/experiment_runs/cycleformer_2026-06-23/results/source_only/transformer_ftu_to_physdrive_test.json
