method,posture,condition,n,mae_bpm,rmse_bpm,pearson,ci95_lo,ci95_hi,oracle_mae,selection_gap
max_energy,Lying,Post-exercise,110,16.194032226421008,23.15816469713817,0.230375805042345,13.086176672300638,19.301887780541378,0.8334584547990089,15.360573771621999
max_energy,Lying,Rest,110,7.139114497069979,12.742907538562925,0.5262201296153767,5.157522947312454,9.120706046827504,1.176108591601858,5.963005905468121
max_energy,Sitting,Post-exercise,110,25.22537204675404,31.95199517510128,-0.05511771260595135,21.54362923556017,28.907114857947906,2.206028561618424,23.019343485135614
max_energy,Sitting,Rest,110,14.388490300948074,22.622850763705188,-0.04038613406285113,11.111122591895057,17.66585801000109,2.3585038627178236,12.029986438230251
max_energy,ALL,ALL,440,15.736752267798275,23.6188783445717,0.15622447387131816,14.08916306318159,17.38434147241496,1.6435248676842786,14.093227400113996
mean_energy,Lying,Post-exercise,110,18.100544099515893,25.499098013942877,0.27365315243467186,14.72877593334643,21.472312265685357,0.8334584547990089,17.267085644716886
mean_energy,Lying,Rest,110,8.83243716979135,14.696738150043753,0.34934642098755164,6.627205091690291,11.037669247892408,1.176108591601858,7.656328578189491
mean_energy,Sitting,Post-exercise,110,22.991655931648936,29.590660087589317,0.05852210812712193,19.49460563368888,26.48870622960899,2.206028561618424,20.78562737003051
mean_energy,Sitting,Rest,110,13.74922676963072,21.990473255477138,0.01891650832133901,10.527306970296676,16.971146568964766,2.3585038627178236,11.390722906912897
mean_energy,ALL,ALL,440,15.918465992646723,23.586999545272413,0.24444556635553302,14.290262941429496,17.54666904386395,1.6435248676842786,14.274941124962444
hr_band,Lying,Post-exercise,110,20.199655060658912,26.274417723908247,0.028160387754756003,17.045283512675883,23.35402660864194,0.8334584547990089,19.366196605859905
hr_band,Lying,Rest,110,10.049246843244624,16.51681798363726,0.12151714253066338,7.58844273220868,12.510050954280569,1.176108591601858,8.873138251642766
hr_band,Sitting,Post-exercise,110,24.89176599028097,31.341588503067793,-0.0846627463524185,21.316456020467193,28.467075960094746,2.206028561618424,22.685737428662545
hr_band,Sitting,Rest,110,14.19826819727907,21.281343781230333,0.11710512582669483,11.222197859813347,17.174338534744795,2.3585038627178236,11.839764334561247
hr_band,ALL,ALL,440,17.334734022865895,24.48643025261936,0.07695966268967205,15.716928176546938,18.952539869184854,1.6435248676842786,15.691209155181616
max_temporal_var,Lying,Post-exercise,110,16.194032226421008,23.15816469713817,0.230375805042345,13.086176672300638,19.301887780541378,0.8334584547990089,15.360573771621999
max_temporal_var,Lying,Rest,110,7.114042980148779,12.732239442076265,0.5284781836802299,5.131690552516953,9.096395407780605,1.176108591601858,5.93793438854692
max_temporal_var,Sitting,Post-exercise,110,25.22537204675404,31.95199517510128,-0.05511771260595135,21.54362923556017,28.907114857947906,2.206028561618424,23.019343485135614
max_temporal_var,Sitting,Rest,110,14.388490300948074,22.622850763705188,-0.04038613406285113,11.111122591895057,17.66585801000109,2.3585038627178236,12.029986438230251
max_temporal_var,ALL,ALL,440,15.730484388567973,23.61743998455755,0.15757655892719738,14.082551872408922,17.378416904727022,1.6435248676842786,14.086959520883694
max_phase_var,Lying,Post-exercise,110,18.841760634061337,25.54349463273694,0.03030605697508323,15.603917708661003,22.079603559461674,0.8334584547990089,18.00830217926233
max_phase_var,Lying,Rest,110,10.380542814004368,16.20743449733887,0.1852569015679543,8.043837508399719,12.717248119609017,1.176108591601858,9.20443422240251
max_phase_var,Sitting,Post-exercise,110,23.724349364720343,28.979488355868924,0.06728900416212925,20.60002550079658,26.848673228644106,2.206028561618424,21.51832080310192
max_phase_var,Sitting,Rest,110,15.347846849134571,22.72721679581485,-0.056281677941066324,12.201020463818834,18.49467323445031,2.3585038627178236,12.989342986416748
max_phase_var,ALL,ALL,440,17.073624915480153,23.830065986533178,0.11371900287081285,15.51850437819479,18.628745452765514,1.6435248676842786,15.430100047795873
max_phase_cohere,Lying,Post-exercise,110,16.194032226421008,23.15816469713817,0.230375805042345,13.086176672300638,19.301887780541378,0.8334584547990089,15.360573771621999
max_phase_cohere,Lying,Rest,110,7.139114497069979,12.742907538562925,0.5262201296153767,5.157522947312454,9.120706046827504,1.176108591601858,5.963005905468121
max_phase_cohere,Sitting,Post-exercise,110,25.22537204675404,31.95199517510128,-0.05511771260595135,21.54362923556017,28.907114857947906,2.206028561618424,23.019343485135614
max_phase_cohere,Sitting,Rest,110,14.388490300948074,22.622850763705188,-0.04038613406285113,11.111122591895057,17.66585801000109,2.3585038627178236,12.029986438230251
max_phase_cohere,ALL,ALL,440,15.736752267798275,23.6188783445717,0.15622447387131816,14.08916306318159,17.38434147241496,1.6435248676842786,14.093227400113996
max_band_energy,Lying,Post-exercise,110,19.37587033211368,27.819989131551115,0.003183858957069681,15.628108884718788,23.123631779508575,0.8334584547990089,18.542411877314674
max_band_energy,Lying,Rest,110,9.758104744929105,15.815180821746024,0.20247280320629893,7.421594978243343,12.094614511614866,1.176108591601858,8.581996153327246
max_band_energy,Sitting,Post-exercise,110,24.89826774358857,31.4056510682065,-0.10206223403178424,21.304786941138335,28.491748546038803,2.206028561618424,22.692239181970145
max_band_energy,Sitting,Rest,110,13.328129271625556,20.973279015967535,0.11688204031574524,10.288001784863889,16.368256758387222,2.3585038627178236,10.969625408907733
max_band_energy,ALL,ALL,440,16.840093023064227,24.75007621909329,0.09098732745292142,15.143385695252652,18.536800350875804,1.6435248676842786,15.196568155379948
hr_band_spatial,Lying,Post-exercise,110,19.458500963625426,26.148311139259924,0.023577063750203974,16.179326087420215,22.737675839830636,0.8334584547990089,18.625042508826418
hr_band_spatial,Lying,Rest,110,9.89949842104335,15.844816467335914,0.20589183625108273,7.576916517367375,12.222080324719325,1.176108591601858,8.723389829441492
hr_band_spatial,Sitting,Post-exercise,110,25.251155256408932,31.018596466180767,0.06744582353930627,21.86916844257099,28.633142070246873,2.206028561618424,23.045126694790508
hr_band_spatial,Sitting,Rest,110,14.163437858159655,20.929663782196712,0.09137668380322582,11.270580986024193,17.056294730295118,2.3585038627178236,11.804933995441832
hr_band_spatial,ALL,ALL,440,17.19314812480934,24.160900940810663,0.1054815148395921,15.605226005589788,18.781070244028893,1.6435248676842786,15.549623257125061
multi_bin_window,Lying,Post-exercise,110,24.011689881348264,34.0674384259012,0.15801472390382532,19.474780869350578,28.54859889334595,0.8334584547990089,23.178231426549257
multi_bin_window,Lying,Rest,110,11.154518633713236,17.4548126973812,0.06890843620791068,8.634074437992986,13.674962829433486,1.176108591601858,9.978410042111378
multi_bin_window,Sitting,Post-exercise,110,23.484264497330877,30.341242326072894,0.04577636125829416,19.877620644532534,27.09090835012922,2.206028561618424,21.278235935712452
multi_bin_window,Sitting,Rest,110,14.286049236003096,22.28947900660646,0.018235202382798316,11.0740443654149,17.498054106591294,2.3585038627178236,11.927545373285273
multi_bin_window,ALL,ALL,440,18.23413056209887,26.84526358353861,0.16845035091193747,16.391055615880443,20.077205508317295,1.6435248676842786,16.59060569441459
temporal_stability,Lying,Post-exercise,110,26.980263713445037,38.12831370885108,0.24058973997166508,21.922466888613847,32.03806053827623,0.8334584547990089,26.14680525864603
temporal_stability,Lying,Rest,110,12.206610650734081,17.90943524603932,0.11901615453365308,9.74631780045267,14.666903501015492,1.176108591601858,11.030502059132223
temporal_stability,Sitting,Post-exercise,110,28.303112704813774,37.16947814754999,0.17895752693245282,23.7799167823567,32.82630862727085,2.206028561618424,26.09708414319535
temporal_stability,Sitting,Rest,110,14.617929370343502,22.126301078051572,0.027057898578932045,11.499684024860594,17.736174715826408,2.3585038627178236,12.259425507625679
temporal_stability,ALL,ALL,440,20.526979109834098,30.189648400860925,0.3274130588867129,18.456134306435395,22.5978239132328,1.6435248676842786,18.88345424214982
max_energy_region,Lying,Post-exercise,110,17.35944031632294,23.983256043430433,0.2333385173034697,14.25276159881945,20.466119033826427,0.8334584547990089,16.52598186152393
max_energy_region,Lying,Rest,110,7.709704737748079,14.987374968595145,0.3214625130666493,5.296889870919513,10.122519604576645,1.176108591601858,6.533596146146221
max_energy_region,Sitting,Post-exercise,110,23.58242761144471,30.655956367079124,-0.04750119624113079,19.90525298459995,27.25960223828947,2.206028561618424,21.376399049826286
max_energy_region,Sitting,Rest,110,13.09063954435708,20.814382999203154,0.12581282222800957,10.052632607175966,16.128646481538194,2.3585038627178236,10.732135681639257
max_energy_region,ALL,ALL,440,15.435553052468203,23.306888355761863,0.18441778291301136,13.801968905678837,17.06913719925757,1.6435248676842786,13.792028184783923
hr_band_spatial_region,Lying,Post-exercise,110,19.93864653793164,26.058361321606245,0.03502568573484637,16.788917429612827,23.08837564625045,0.8334584547990089,19.10518808313263
hr_band_spatial_region,Lying,Rest,110,10.47983312568654,16.96112517374437,0.06954475564429634,7.976185208281295,12.983481043091784,1.176108591601858,9.303724534084681
hr_band_spatial_region,Sitting,Post-exercise,110,24.18323344540808,30.60771381712921,-0.02128969139006871,20.66101546210004,27.705451428716124,2.206028561618424,21.977204883789657
hr_band_spatial_region,Sitting,Rest,110,13.904849712751407,22.112404628932364,-0.007029537686823051,10.677061566394464,17.13263785910835,2.3585038627178236,11.546345850033584
hr_band_spatial_region,ALL,ALL,440,17.12664070544442,24.456637879682695,0.07605753551018224,15.493456847711135,18.759824563177702,1.6435248676842786,15.48311583776014
multi_bin_window_region,Lying,Post-exercise,110,17.188663776829184,24.045416844123622,0.2183054199180395,14.031986129627716,20.34534142403065,0.8334584547990089,16.355205322030177
multi_bin_window_region,Lying,Rest,110,7.18490868470574,13.222613053302478,0.49130143121007896,5.101023061604556,9.268794307806925,1.176108591601858,6.008800093103882
multi_bin_window_region,Sitting,Post-exercise,110,24.675562965576415,31.353703494583826,0.01013053988784599,21.044129699978473,28.306996231174356,2.206028561618424,22.46953440395799
multi_bin_window_region,Sitting,Rest,110,13.497531438695816,22.394640215100274,-0.02052725999797979,10.142727528155206,16.852335349236427,2.3585038627178236,11.139027575977993
multi_bin_window_region,ALL,ALL,440,15.636666716451789,23.651607769637426,0.16043834044899352,13.976676779864233,17.296656653039342,1.6435248676842786,13.99314184876751
oracle,Lying,Post-exercise,110,0.8334584547990089,1.4257503616364162,0.9969216021431399,0.6162939166328301,1.0506229929651878,0.8334584547990089,0.0
oracle,Lying,Rest,110,1.176108591601858,5.677476102437606,0.936580836826094,0.1333735933476452,2.218843589856071,1.176108591601858,0.0
oracle,Sitting,Post-exercise,110,2.206028561618424,6.188796087434301,0.9489661879136304,1.1205003478905653,3.291556775346283,2.206028561618424,0.0
oracle,Sitting,Rest,110,2.3585038627178236,9.355120720213574,0.9144972090483322,0.6589594468311049,4.058048278604542,2.3585038627178236,0.0
oracle,ALL,ALL,440,1.6435248676842786,6.326254414917802,0.9497428276672341,1.0720508416835854,2.214998893684972,1.6435248676842786,0.0
